schema_version,timestamp,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w],ram_used[mb],proc_rss[mb],disk_free[gb],queue_depth[n],torch_vram_alloc[mb],torch_vram_reserved[mb],cycles_total[n],dropped_logs[n]
1.0.0,2026-08-05 02:55:46.886,,0.0,52,0,2040,2312.88832,34.284,20236.791808,1513.873408,594.5601024,51,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:48.186,,0.0,52,9,2040,2312.88832,35.148,20304.605184,1569.44384,594.559963136,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:48.215,,0.0,52,9,2040,2312.88832,35.148,20264.751104,1526.059008,594.559963136,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:49.183,,11.4,52,10,2040,2322.915328,35.24,20253.0816,1524.18304,594.559873024,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:50.182,,13.6,52,4,2040,2312.88832,35.763,20266.037248,1523.654656,594.559746048,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:51.183,,13.1,52,4,2040,2312.88832,35.018,20263.555072,1523.654656,594.559614976,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:52.214,,11.8,52,4,2040,2312.88832,35.061,20250.906624,1526.996992,594.559496192,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:53.178,,9.1,52,4,2040,2312.88832,35.014,20221.874176,1523.687424,594.556956672,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:54.183,,8.5,52,3,2040,2312.88832,34.926,20275.048448,1523.728384,594.556817408,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:55.184,,9.9,52,4,2040,2312.88832,35.095,20263.399424,1523.769344,594.55670272,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:56.187,,12.3,52,3,2040,2312.88832,34.988,20263.010304,1524.854784,594.55657984,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:57.188,,12.1,52,4,2040,2312.88832,34.968,20251.385856,1523.8144,594.556444672,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:58.182,,9.7,52,3,2040,2312.88832,34.965,20253.380608,1523.818496,594.55639552,83,5.251584,23.068672,1,0
1.0.0,2026-08-05 02:55:59.184,,9.9,52,4,2040,2312.88832,34.955,20299.685888,1555.70176,594.556280832,83,5.252096,23.068672,1,0
1.0.0,2026-08-05 02:56:00.174,,14.7,52,7,2040,2323.0464,36.214,20299.702272,1558.585344,594.556157952,83,5.252096,23.068672,2,0
1.0.0,2026-08-05 02:56:01.179,,0.0,53,13,2040,2323.0464,36.536,20291.780608,1561.997312,594.556035072,83,5.252096,23.068672,3,0
1.0.0,2026-08-05 02:56:02.182,,0.0,53,10,2040,2323.0464,36.691,20311.547904,1561.382912,594.55393792,83,5.252096,23.068672,4,0
1.0.0,2026-08-05 02:56:03.169,,13.0,53,10,2040,2313.019392,36.375,20277.846016,1561.41568,594.55383552,83,5.252096,23.068672,5,0
1.0.0,2026-08-05 02:56:04.178,,11.7,53,15,2040,2313.019392,36.351,20281.778176,1567.49824,594.553806848,83,5.252096,23.068672,5,0
1.0.0,2026-08-05 02:56:05.181,,14.3,53,6,2040,2311.5776,36.254,20317.151232,1569.247232,594.553647104,83,5.252096,23.068672,6,0
1.0.0,2026-08-05 02:56:06.193,,15.7,53,3,2040,2311.5776,36.72,20304.95744,1572.196352,594.55352832,83,5.252096,23.068672,7,0
1.0.0,2026-08-05 02:56:07.210,,14.5,53,3,2040,2311.5776,36.056,20296.298496,1566.633984,594.553401344,83,5.252096,23.068672,8,0
1.0.0,2026-08-05 02:56:08.184,,15.0,53,12,2040,2311.5776,36.681,20289.396736,1563.3408,594.55328256,83,5.252096,23.068672,9,0
1.0.0,2026-08-05 02:56:09.181,,0.0,53,10,2040,2311.5776,36.39,20288.331776,1564.827648,594.553257984,83,5.252096,23.068672,10,0
1.0.0,2026-08-05 02:56:10.185,,11.9,53,11,2040,2311.5776,36.424,20313.673728,1572.41344,594.553122816,83,5.252096,23.068672,10,0
1.0.0,2026-08-05 02:56:11.194,,14.1,53,13,2040,2311.5776,36.199,20299.689984,1570.639872,594.553004032,83,5.252096,23.068672,11,0
1.0.0,2026-08-05 02:56:12.177,,14.1,53,4,2040,2311.5776,36.757,20285.489152,1573.138432,594.552885248,83,5.252096,23.068672,12,0
1.0.0,2026-08-05 02:56:13.188,,15.3,53,3,2040,2311.5776,35.984,20311.130112,1575.448576,594.552758272,83,10.167808,23.068672,13,0
1.0.0,2026-08-05 02:56:14.175,,11.9,53,6,2040,2311.5776,36.552,20289.789952,1569.128448,594.55268864,83,5.252096,23.068672,14,0
1.0.0,2026-08-05 02:56:15.185,,13.0,53,18,2040,2351.222784,36.655,20435.480576,1568.366592,594.557046784,83,5.252096,23.068672,15,0
1.0.0,2026-08-05 02:56:16.173,,15.0,53,10,2040,2351.157248,37.07,20417.560576,1566.732288,594.556747776,83,5.252096,23.068672,16,0
1.0.0,2026-08-05 02:56:17.185,,14.5,53,10,2040,2351.095808,36.476,20438.007808,1570.455552,594.556473344,83,5.252096,23.068672,16,0
1.0.0,2026-08-05 02:56:18.181,,14.0,53,18,2040,2351.095808,36.024,20443.918336,1573.363712,594.556358656,83,5.252096,23.068672,17,0
1.0.0,2026-08-05 02:56:19.189,,14.0,53,7,2040,2351.095808,36.589,20412.84608,1571.774464,594.556112896,83,5.252096,23.068672,18,0
1.0.0,2026-08-05 02:56:20.182,,14.1,53,4,2040,2351.095808,36.43,20432.703488,1580.642304,594.555994112,83,10.167296,23.068672,19,0
1.0.0,2026-08-05 02:56:21.192,,14.2,53,4,2040,2352.013312,36.583,20424.814592,1567.834112,594.555879424,83,5.252096,23.068672,20,0
1.0.0,2026-08-05 02:56:22.177,,14.8,53,12,2040,2352.013312,36.619,20401.532928,1567.858688,594.555764736,83,5.252096,23.068672,21,0
1.0.0,2026-08-05 02:56:23.169,,11.7,53,10,2040,2347.6224,36.631,20366.962688,1566.605312,594.555756544,83,5.252096,23.068672,22,0
1.0.0,2026-08-05 02:56:24.181,,14.0,53,13,2040,2363.727872,36.388,20420.046848,1574.412288,594.555670528,83,5.252096,23.068672,22,0
1.0.0,2026-08-05 02:56:25.181,,14.6,53,17,2040,2379.636736,36.657,20405.563392,1571.958784,594.56602112,83,5.252096,23.068672,23,0
1.0.0,2026-08-05 02:56:26.189,,14.9,53,9,2040,2395.5456,36.399,20418.117632,1574.424576,594.565902336,83,5.252096,23.068672,24,0
1.0.0,2026-08-05 02:56:27.179,,14.9,53,7,2040,2341.15072,36.717,20426.104832,1575.665664,594.565779456,83,5.252096,23.068672,25,0
1.0.0,2026-08-05 02:56:28.185,,15.4,53,13,2040,2403.581952,37.022,21200.285696,1576.615936,594.565730304,83,5.252096,23.068672,26,0
1.0.0,2026-08-05 02:56:29.197,,16.1,53,9,2040,2369.503232,37.807,21257.117696,1567.547392,594.564755456,83,5.252096,23.068672,27,0
1.0.0,2026-08-05 02:56:30.184,,19.5,53,16,2040,2403.581952,37.69,21261.80352,1566.695424,594.563559424,83,5.252096,23.068672,28,0
1.0.0,2026-08-05 02:56:31.203,,17.9,53,16,2040,2403.581952,37.623,21276.725248,1573.441536,594.559418368,83,5.252096,23.068672,28,0
1.0.0,2026-08-05 02:56:32.187,,16.4,53,17,2040,2369.503232,37.624,21291.618304,1573.507072,594.559275008,83,5.252096,23.068672,29,0
1.0.0,2026-08-05 02:56:33.175,,17.9,53,20,2040,2369.503232,37.383,21264.896,1573.093376,594.558869504,83,5.252096,23.068672,30,0
1.0.0,2026-08-05 02:56:34.223,,17.5,53,10,2040,2369.503232,37.868,21265.051648,1575.149568,594.557599744,83,5.252096,23.068672,31,0
1.0.0,2026-08-05 02:56:35.192,,20.5,53,9,2040,2403.581952,37.828,21274.56256,1570.217984,594.554699776,83,5.252096,23.068672,32,0
1.0.0,2026-08-05 02:56:36.193,,19.3,53,16,2040,2369.503232,37.788,21269.803008,1567.244288,594.553131008,83,5.252096,23.068672,33,0
1.0.0,2026-08-05 02:56:37.182,,19.3,53,16,2040,2403.581952,37.745,21257.515008,1567.051776,594.552225792,83,5.252096,23.068672,34,0
1.0.0,2026-08-05 02:56:38.184,,17.3,53,17,2040,2369.503232,37.754,21245.743104,1572.315136,594.550628352,83,5.252096,23.068672,34,0
1.0.0,2026-08-05 02:56:39.188,,17.9,53,23,2040,2369.503232,37.792,21288.062976,1572.33152,594.548727808,83,5.252096,23.068672,35,0
1.0.0,2026-08-05 02:56:40.187,,19.0,53,12,2040,2403.581952,37.756,21282.922496,1574.72768,594.547474432,83,5.252096,23.068672,36,0
1.0.0,2026-08-05 02:56:41.198,,22.0,53,8,2040,2403.581952,37.738,21265.125376,1573.122048,594.544975872,83,5.252096,23.068672,37,0
1.0.0,2026-08-05 02:56:42.197,,19.3,53,8,2040,2403.581952,37.773,21246.91456,1567.584256,594.544881664,83,5.252096,23.068672,38,0
1.0.0,2026-08-05 02:56:43.180,,17.4,53,17,2040,2369.503232,37.846,21258.272768,1567.412224,594.542600192,83,5.252096,23.068672,39,0
1.0.0,2026-08-05 02:56:44.197,,21.5,53,16,2040,2403.581952,37.71,21272.502272,1570.295808,594.541256704,83,5.252096,23.068672,40,0
1.0.0,2026-08-05 02:56:45.183,,20.2,53,16,2040,2369.503232,37.745,21285.609472,1575.559168,594.539880448,83,5.252096,23.068672,40,0
1.0.0,2026-08-05 02:56:46.204,,24.5,53,17,2040,2403.581952,37.704,21263.949824,1575.309312,594.538614784,83,5.252096,23.068672,41,0
1.0.0,2026-08-05 02:56:47.242,,20.4,54,22,2040,2403.581952,37.601,21274.140672,1575.358464,594.53638656,83,5.252096,23.068672,42,0
1.0.0,2026-08-05 02:56:48.191,,17.9,53,9,2040,2369.503232,37.816,21291.118592,1576.91904,594.535481344,83,5.252096,23.068672,43,0
1.0.0,2026-08-05 02:56:49.198,,20.1,53,12,2040,2403.581952,38.021,21258.420224,1570.840576,594.53423616,83,5.252096,23.068672,44,0
1.0.0,2026-08-05 02:56:50.201,,20.9,54,16,2040,2403.581952,37.794,21269.327872,1570.840576,594.532655104,83,5.252096,23.068672,45,0
1.0.0,2026-08-05 02:56:51.174,,21.8,54,16,2040,2369.503232,37.858,21276.250112,1569.603584,594.531135488,83,5.252096,23.068672,46,0
1.0.0,2026-08-05 02:56:52.186,,17.5,54,16,2040,2403.581952,37.77,21256.9088,1574.219776,594.527064064,83,5.252096,23.068672,46,0
1.0.0,2026-08-05 02:56:53.204,,20.0,54,15,2040,2403.581952,37.927,21268.017152,1575.66976,594.527014912,83,5.252096,23.068672,47,0
1.0.0,2026-08-05 02:56:54.187,,19.7,54,22,2040,2403.581952,37.781,21286.313984,1574.567936,594.525052928,83,5.252096,23.068672,48,0
1.0.0,2026-08-05 02:56:55.187,,19.5,54,10,2040,2369.503232,37.543,21287.46496,1575.825408,594.524389376,83,5.252096,23.068672,49,0
1.0.0,2026-08-05 02:56:56.199,,20.7,54,8,2040,2369.503232,37.995,21278.920704,1569.636352,594.522087424,83,5.252096,23.068672,50,0
1.0.0,2026-08-05 02:56:57.200,,16.9,54,16,2040,2369.503232,38.029,21262.647296,1570.89792,594.520899584,83,5.252096,23.068672,51,0
1.0.0,2026-08-05 02:56:58.203,,19.1,54,16,2040,2403.581952,37.934,21294.309376,1569.640448,594.520092672,83,5.252096,23.068672,52,0
1.0.0,2026-08-05 02:56:59.235,,17.2,54,16,2040,2369.503232,37.861,21301.424128,1576.255488,594.5177088,83,5.252096,23.068672,52,0
1.0.0,2026-08-05 02:57:00.203,,20.2,54,17,2040,2403.581952,37.853,21290.246144,1576.255488,594.51703296,83,5.252096,23.068672,53,0
1.0.0,2026-08-05 02:57:01.213,,21.8,54,15,2040,2403.581952,37.382,21280.612352,1577.500672,594.514853888,83,5.252096,23.068672,54,0
1.0.0,2026-08-05 02:57:02.197,,18.2,54,8,2040,2403.581952,38.03,21228.249088,1577.136128,594.513825792,83,10.513408,23.068672,55,0
1.0.0,2026-08-05 02:57:03.206,,19.0,54,17,2040,2369.503232,38.021,21278.715904,1573.531648,594.511220736,83,10.37824,23.068672,56,0
1.0.0,2026-08-05 02:57:04.191,,19.5,54,16,2040,2403.581952,37.874,21276.479488,1571.344384,594.509623296,83,5.252096,23.068672,57,0
1.0.0,2026-08-05 02:57:05.201,,19.4,54,16,2040,2403.581952,37.92,21258.047488,1571.856384,594.509160448,83,5.252096,23.068672,58,0
1.0.0,2026-08-05 02:57:06.200,,18.3,54,15,2040,2403.581952,37.858,21279.744,1571.344384,594.272497664,83,5.252096,23.068672,59,0
1.0.0,2026-08-05 02:57:07.209,,17.0,54,16,2040,2369.503232,37.96,21257.351168,1573.810176,594.267885568,83,5.252096,23.068672,60,0
1.0.0,2026-08-05 02:57:08.200,,17.8,54,26,2040,2369.503232,37.758,21285.298176,1576.706048,594.267799552,83,5.252096,23.068672,60,0
1.0.0,2026-08-05 02:57:09.188,,20.0,54,8,2040,2403.581952,37.778,21296.570368,1582.10048,594.267656192,83,5.252096,23.068672,61,0
1.0.0,2026-08-05 02:57:10.192,,19.8,54,10,2040,2403.581952,38.171,21297.467392,1580.191744,594.266402816,83,10.172416,23.068672,62,0
1.0.0,2026-08-05 02:57:11.232,,17.8,54,11,2040,2403.581952,37.911,21260.750848,1573.781504,594.265116672,83,5.252096,23.068672,63,0
1.0.0,2026-08-05 02:57:12.200,,17.6,54,8,2040,2403.581952,37.842,21274.882048,1571.332096,594.263363584,83,5.252096,23.068672,64,0
1.0.0,2026-08-05 02:57:13.189,,18.3,54,16,2040,2403.581952,37.658,21286.354944,1571.332096,594.262257664,83,5.252096,23.068672,65,0
1.0.0,2026-08-05 02:57:14.218,,20.5,54,23,2040,2369.503232,37.928,21285.834752,1576.26368,594.26125824,83,5.252096,23.068672,65,0
1.0.0,2026-08-05 02:57:15.200,,18.9,54,9,2040,2403.581952,37.704,21288.046592,1577.402368,594.257383424,83,5.252096,23.068672,66,0
1.0.0,2026-08-05 02:57:16.213,,18.7,54,8,2040,2369.503232,38.081,21273.493504,1577.504768,594.25724416,83,5.252096,23.068672,67,0
1.0.0,2026-08-05 02:57:17.209,,18.7,54,7,2040,2369.503232,37.881,21291.843584,1573.781504,594.255650816,83,5.252096,23.068672,68,0
1.0.0,2026-08-05 02:57:18.196,,21.5,54,17,2040,2403.581952,37.992,21288.148992,1574.825984,594.254245888,83,10.246656,23.068672,69,0
1.0.0,2026-08-05 02:57:19.210,,20.4,54,16,2040,2403.581952,37.936,21266.24768,1572.573184,594.25220608,83,5.252096,23.068672,70,0
1.0.0,2026-08-05 02:57:20.200,,20.2,54,16,2040,2386.542592,37.917,21259.3664,1571.315712,594.249121792,83,5.252096,23.068672,71,0
1.0.0,2026-08-05 02:57:21.202,,19.5,54,16,2040,2369.503232,37.891,21273.882624,1576.247296,594.24892928,83,5.252096,23.068672,71,0
1.0.0,2026-08-05 02:57:22.199,,17.5,54,19,2040,2403.581952,37.546,21288.833024,1577.504768,594.248204288,83,5.252096,23.068672,72,0
1.0.0,2026-08-05 02:57:23.232,,19.3,54,9,2040,2369.503232,38.084,21281.701888,1577.504768,594.245935104,83,5.252096,23.068672,73,0
1.0.0,2026-08-05 02:57:24.218,,19.8,54,9,2040,2403.581952,37.892,21296.123904,1580.179456,594.244677632,83,5.252096,23.068672,74,0
1.0.0,2026-08-05 02:57:25.219,,20.0,54,15,2040,2403.581952,38.068,21281.558528,1571.319808,594.243100672,83,5.252096,23.068672,75,0
1.0.0,2026-08-05 02:57:26.216,,17.9,54,16,2040,2369.503232,37.953,21261.197312,1571.319808,594.241806336,83,5.252096,23.068672,76,0
1.0.0,2026-08-05 02:57:27.215,,18.1,54,16,2040,2369.503232,37.989,21259.419648,1572.552704,594.241179648,83,5.252096,23.068672,77,0
1.0.0,2026-08-05 02:57:28.188,,19.5,54,22,2040,2369.503232,37.861,21282.676736,1576.251392,594.238373888,83,5.252096,23.068672,77,0
1.0.0,2026-08-05 02:57:29.194,,20.1,54,14,2040,2403.581952,38.17,21275.123712,1577.508864,594.237509632,83,5.252096,23.068672,78,0
1.0.0,2026-08-05 02:57:30.207,,19.5,54,9,2040,2403.581952,37.931,21264.924672,1577.517056,594.235490304,83,5.252096,23.068672,79,0
1.0.0,2026-08-05 02:57:31.196,,18.9,54,8,2040,2369.503232,38.053,21259.317248,1577.14432,594.233044992,83,5.252096,23.068672,80,0
1.0.0,2026-08-05 02:57:32.198,,16.7,54,9,2040,2403.581952,37.899,21284.233216,1574.621184,594.232459264,83,10.167296,23.068672,81,0
1.0.0,2026-08-05 02:57:33.190,,21.8,54,17,2040,2403.581952,38.09,21284.593664,1571.672064,594.228563968,83,5.252096,23.068672,82,0
1.0.0,2026-08-05 02:57:34.206,,24.3,54,16,2040,2369.503232,38.043,21273.595904,1571.328,594.228420608,83,5.252096,23.068672,83,0
1.0.0,2026-08-05 02:57:35.198,,22.1,54,20,2040,2369.503232,38.016,21261.631488,1577.517056,594.228277248,83,5.252096,23.068672,83,0
1.0.0,2026-08-05 02:57:36.242,,19.6,54,18,2040,2369.503232,38.083,21239.9104,1579.13088,594.225856512,83,5.252096,23.068672,84,0
1.0.0,2026-08-05 02:57:37.204,,19.2,54,8,2040,2369.503232,37.784,21270.335488,1577.517056,594.22509056,83,5.252096,23.068672,85,0
1.0.0,2026-08-05 02:57:38.189,,19.4,54,8,2040,2369.503232,38.077,21289.275392,1581.019136,594.223505408,83,5.252096,23.068672,86,0
1.0.0,2026-08-05 02:57:39.203,,21.5,54,11,2040,2369.503232,38.111,21290.606592,1574.469632,594.221985792,83,5.252096,23.068672,87,0
1.0.0,2026-08-05 02:57:40.198,,20.2,54,16,2040,2369.503232,38.148,21276.5696,1573.220352,594.220601344,83,5.252096,23.068672,88,0
1.0.0,2026-08-05 02:57:41.187,,19.1,54,16,2040,2369.503232,38.08,21273.305088,1578.151936,594.21743104,83,5.252096,23.068672,88,0
1.0.0,2026-08-05 02:57:42.205,,17.5,54,8,2040,2403.581952,37.839,21274.8288,1579.204608,594.216378368,83,5.252096,23.068672,89,0
1.0.0,2026-08-05 02:57:43.196,,19.0,54,19,2040,2369.503232,37.541,21289.074688,1579.409408,594.214268928,83,5.252096,23.068672,90,0
1.0.0,2026-08-05 02:57:44.209,,19.4,54,18,2040,2403.581952,38.17,21292.220416,1580.023808,594.212356096,83,5.252096,23.068672,91,0
1.0.0,2026-08-05 02:57:45.196,,17.7,54,11,2040,2369.503232,37.209,21272.35072,1580.15488,594.210779136,83,5.252096,23.068672,92,0
1.0.0,2026-08-05 02:57:46.212,,15.0,54,8,2040,2369.503232,38.11,21283.454976,1574.89152,594.209898496,83,5.252096,23.068672,93,0
1.0.0,2026-08-05 02:57:47.199,,17.9,54,15,2040,2369.503232,38.189,21298.470912,1573.961728,594.20770304,83,5.252096,23.068672,94,0
1.0.0,2026-08-05 02:57:48.190,,18.3,54,16,2040,2403.581952,38.058,21291.45856,1578.893312,594.20690432,83,5.252096,23.068672,94,0
1.0.0,2026-08-05 02:57:49.238,,18.5,54,16,2040,2403.581952,38.138,21288.36608,1578.893312,594.203557888,83,5.252096,23.068672,95,0
1.0.0,2026-08-05 02:57:50.206,,18.2,54,17,2040,2403.581952,38.041,21268.516864,1580.150784,594.203418624,83,5.252096,23.068672,96,0
1.0.0,2026-08-05 02:57:51.191,,18.3,54,22,2040,2369.503232,37.957,21298.065408,1581.031424,594.202800128,83,5.252096,23.068672,97,0
1.0.0,2026-08-05 02:57:52.206,,17.6,54,8,2040,2403.581952,37.966,21298.843648,1577.668608,594.199814144,83,10.243584,23.068672,98,0
1.0.0,2026-08-05 02:57:53.196,,18.3,54,15,2040,2403.581952,38.359,21292.05248,1574.694912,594.199666688,83,5.252096,23.068672,99,0
1.0.0,2026-08-05 02:57:54.198,,18.7,55,17,2040,2369.503232,38.082,21305.79456,1575.2192,594.198151168,83,5.252096,23.068672,100,0
1.0.0,2026-08-05 02:57:55.207,,16.9,55,16,2040,2369.503232,38.174,21288.288256,1573.961728,594.19492352,83,5.252096,23.068672,101,0
1.0.0,2026-08-05 02:57:56.205,,16.1,55,15,2040,2369.503232,38.064,21301.37088,1578.868736,594.194251776,83,5.252096,23.068672,101,0
1.0.0,2026-08-05 02:57:57.204,,17.6,55,16,2040,2369.503232,38.156,21304.745984,1578.893312,594.1897216,83,5.252096,23.068672,102,0
1.0.0,2026-08-05 02:57:58.201,,21.3,55,22,2040,2403.581952,38.138,21319.143424,1579.241472,594.189582336,83,5.252096,23.068672,103,0
1.0.0,2026-08-05 02:57:59.202,,23.1,54,9,2040,2403.581952,37.709,21313.67936,1584.427008,594.189430784,83,5.252096,23.068672,104,0
1.0.0,2026-08-05 02:58:00.211,,18.2,55,8,2040,2403.581952,38.27,21287.747584,1576.456192,594.19846656,83,5.252096,23.068672,105,0
1.0.0,2026-08-05 02:58:01.253,,18.2,55,16,2040,2403.581952,38.194,21300.375552,1576.841216,594.19664384,83,5.252096,23.068672,106,0
1.0.0,2026-08-05 02:58:02.206,,19.2,55,16,2040,2369.503232,38.144,21317.4272,1573.965824,594.19578368,83,5.252096,23.068672,107,0
1.0.0,2026-08-05 02:58:03.205,,20.5,55,16,2040,2369.503232,38.118,21324.480512,1578.897408,594.192764928,83,5.252096,23.068672,107,0
1.0.0,2026-08-05 02:58:04.203,,19.6,55,16,2040,2403.581952,38.116,21299.064832,1579.323392,594.192625664,83,5.252096,23.068672,108,0
1.0.0,2026-08-05 02:58:05.192,,15.9,55,18,2040,2403.581952,37.644,21272.752128,1580.15488,594.19140096,83,5.252096,23.068672,109,0
1.0.0,2026-08-05 02:58:06.208,,17.3,55,8,2040,2369.503232,38.262,21308.444672,1576.431616,594.188578816,83,5.252096,23.068672,110,0
1.0.0,2026-08-05 02:58:07.204,,19.0,55,17,2040,2403.581952,38.282,21298.909184,1575.223296,594.18763264,83,5.252096,23.068672,111,0
1.0.0,2026-08-05 02:58:08.202,,19.6,55,17,2040,2403.581952,38.17,21285.720064,1574.662144,594.186063872,83,5.252096,23.068672,112,0
1.0.0,2026-08-05 02:58:09.206,,17.6,55,16,2040,2369.503232,38.15,21304.680448,1574.141952,594.182455296,83,5.252096,23.068672,113,0
1.0.0,2026-08-05 02:58:10.202,,15.3,55,16,2040,2369.503232,38.146,21288.341504,1573.96992,594.182447104,83,5.252096,23.068672,114,0
1.0.0,2026-08-05 02:58:11.203,,17.4,55,16,2040,2403.581952,38.061,21303.631872,1578.86464,594.178871296,83,5.252096,23.068672,114,0
1.0.0,2026-08-05 02:58:12.202,,19.1,55,17,2040,2403.581952,37.888,21290.688512,1580.158976,594.178736128,83,5.252096,23.068672,115,0
1.0.0,2026-08-05 02:58:13.236,,20.1,55,10,2040,2386.542592,37.659,21298.33984,1580.4416,594.178588672,83,5.252096,23.068672,116,0
1.0.0,2026-08-05 02:58:14.204,,19.9,55,12,2040,2403.581952,38.337,21289.910272,1576.136704,594.177097728,83,10.244096,23.068672,117,0
1.0.0,2026-08-05 02:58:15.202,,19.1,55,10,2040,2403.581952,38.073,21301.202944,1575.227392,594.175094784,83,5.252096,23.068672,118,0
1.0.0,2026-08-05 02:58:16.214,,20.0,55,16,2040,2369.503232,38.113,21287.30112,1573.96992,594.174251008,83,5.252096,23.068672,119,0
1.0.0,2026-08-05 02:58:17.233,,19.8,55,16,2040,2369.503232,38.13,21309.894656,1575.202816,594.17319424,83,5.252096,23.068672,120,0
1.0.0,2026-08-05 02:58:18.189,,19.8,55,24,2040,2403.581952,38.199,21318.270976,1580.158976,594.16827904,83,5.252096,23.068672,120,0
1.0.0,2026-08-05 02:58:19.203,,18.7,55,8,2040,2403.581952,37.998,21288.374272,1581.297664,594.168184832,83,5.252096,23.068672,121,0
1.0.0,2026-08-05 02:58:20.196,,18.8,55,8,2040,2369.503232,38.311,21294.022656,1584.295936,594.167775232,83,5.252096,23.068672,122,0
1.0.0,2026-08-05 02:58:21.209,,19.0,55,7,2040,2369.503232,38.09,21303.840768,1574.354944,594.166059008,83,5.252096,23.068672,123,0
1.0.0,2026-08-05 02:58:22.207,,20.2,55,18,2040,2403.581952,38.25,21308.297216,1574.498304,594.164215808,83,5.252096,23.068672,124,0
1.0.0,2026-08-05 02:58:23.189,,19.1,55,18,2040,2369.503232,38.091,21279.199232,1573.904384,594.16295424,83,5.252096,23.068672,125,0
1.0.0,2026-08-05 02:58:24.202,,17.4,55,16,2040,2369.503232,38.188,21289.82016,1573.96992,594.16119296,83,5.252096,23.068672,126,0
1.0.0,2026-08-05 02:58:25.236,,17.5,55,16,2040,2403.581952,38.168,21311.270912,1580.089344,594.160226304,83,5.252096,23.068672,126,0
1.0.0,2026-08-05 02:58:26.210,,18.9,55,17,2040,2369.503232,37.654,21304.15616,1580.158976,594.158710784,83,5.252096,23.068672,127,0
