schema_version,timestamp,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w],ram_used[mb],proc_rss[mb],disk_free[gb],queue_depth[n],torch_vram_alloc[mb],torch_vram_reserved[mb],cycles_total[n],dropped_logs[n]
1.0.0,2026-06-23 19:43:08.214,30.4,4.6,56,2,2040,2317.512704,35.528,19511.545856,1773.285376,586.698416128,80,71.338496,138.412032,13,0
1.0.0,2026-06-23 19:43:09.202,30.8,4.5,56,2,2040,2317.512704,35.588,19508.79744,1774.280704,586.69840384,80,71.338496,138.412032,13,0
1.0.0,2026-06-23 19:43:10.228,29.7,4.2,56,2,2040,2317.512704,35.526,19515.953152,1781.714944,586.698387456,80,71.338496,138.412032,13,0
1.0.0,2026-06-23 19:43:11.265,36.2,5.5,56,7,2040,2317.512704,42.011,19509.026816,1774.350336,586.69811712,80,71.338496,138.412032,14,0
1.0.0,2026-06-23 19:43:12.242,36.8,4.1,56,11,2040,2317.512704,40.983,19516.2112,1784.213504,586.698027008,80,71.339008,138.412032,14,0
1.0.0,2026-06-23 19:43:13.213,38.1,5.6,56,2,2040,2317.512704,40.834,19507.224576,1774.350336,586.6975232,80,71.338496,138.412032,15,0
1.0.0,2026-06-23 19:43:14.213,32.9,4.6,56,2,2040,2317.512704,35.331,19510.747136,1774.350336,586.697506816,80,71.338496,138.412032,15,0
1.0.0,2026-06-23 19:43:15.243,39.2,7.9,56,10,2040,2317.512704,40.131,19544.20736,1784.209408,586.697457664,80,71.338496,138.412032,15,0
1.0.0,2026-06-23 19:43:16.216,36.7,5.6,56,2,2040,2317.512704,39.391,19533.713408,1774.288896,586.696794112,80,71.339008,138.412032,16,0
1.0.0,2026-06-23 19:43:17.274,32.8,4.8,57,7,2040,2317.512704,40.929,19523.452928,1775.53408,586.707124224,80,71.338496,138.412032,17,0
1.0.0,2026-06-23 19:43:18.243,36.4,4.5,56,5,2040,2317.512704,38.713,19522.777088,1776.78336,586.706911232,80,71.338496,138.412032,17,0
1.0.0,2026-06-23 19:43:19.284,39.1,6.9,57,11,2040,2317.512704,39.568,19552.288768,1785.454592,586.70682112,80,71.339008,138.412032,17,0
1.0.0,2026-06-23 19:43:20.203,39.7,4.8,56,2,2040,2317.512704,41.158,19534.0288,1774.444544,586.70628864,80,71.338496,138.412032,18,0
1.0.0,2026-06-23 19:43:21.217,41.9,8.3,56,8,2040,2344.48896,36.779,19537.932288,1774.444544,586.706272256,80,71.338496,138.412032,18,0
1.0.0,2026-06-23 19:43:22.230,42.7,4.6,56,1,2040,2344.48896,36.021,19538.169856,1774.444544,586.706251776,80,71.338496,138.412032,18,0
1.0.0,2026-06-23 19:43:23.233,26.5,5.7,56,7,2040,2344.128512,37.26,19541.434368,1784.307712,586.706239488,80,71.339008,138.412032,18,0
1.0.0,2026-06-23 19:43:24.217,35.4,5.8,56,2,2040,2342.883328,43.305,19528.54016,1774.452736,586.70596096,80,71.339008,138.412032,19,0
1.0.0,2026-06-23 19:43:25.263,33.9,5.3,57,10,2040,2342.03136,41.061,19538.59584,1784.328192,586.705686528,80,71.338496,138.412032,19,0
1.0.0,2026-06-23 19:43:26.254,33.7,4.8,56,1,2040,2327.605248,39.099,19527.18848,1774.485504,586.705170432,80,71.338496,138.412032,20,0
1.0.0,2026-06-23 19:43:27.257,28.7,4.3,56,1,2040,2317.971456,35.981,19523.756032,1774.497792,586.705154048,80,71.338496,138.412032,20,0
1.0.0,2026-06-23 19:43:28.293,29.5,5.4,57,13,2040,2317.971456,42.293,19516.616704,1784.369152,586.70514176,80,71.338496,138.412032,20,0
1.0.0,2026-06-23 19:43:29.222,32.5,5.1,56,4,2040,2317.971456,38.337,19493.7856,1776.975872,586.704572416,80,71.339008,138.412032,21,0
1.0.0,2026-06-23 19:43:30.231,34.2,5.7,57,13,2040,2317.971456,43.308,19499.257856,1784.369152,586.704560128,80,71.338496,138.412032,21,0
1.0.0,2026-06-23 19:43:31.231,33.4,4.9,56,1,2040,2317.971456,38.463,19491.30752,1776.975872,586.704044032,80,71.338496,138.412032,22,0
1.0.0,2026-06-23 19:43:32.257,29.8,4.5,57,9,2040,2317.971456,41.138,19500.978176,1784.377344,586.704023552,80,71.338496,138.412032,22,0
