schema_version,timestamp,cycle_id,class,conf_min,conf_max,conf_ave,num_detections,final_flag
1.0.0,2026-06-23 19:42:38.926,1,healthy,0.88,0.95,0.92,4,1
1.0.0,2026-06-23 19:42:41.399,2,unripe,0.78,0.96,0.9,6,0
1.0.0,2026-06-23 19:42:41.399,2,healthy,0.94,0.97,0.96,3,0
1.0.0,2026-06-23 19:42:41.399,2,blacktwin,0.93,0.93,0.93,1,1
1.0.0,2026-06-23 19:42:45.613,3,unripe,0.93,0.97,0.95,4,1
1.0.0,2026-06-23 19:42:45.613,3,healthy,0.7,0.7,0.7,1,0
1.0.0,2026-06-23 19:42:45.613,3,twin,0.83,0.83,0.83,1,0
1.0.0,2026-06-23 19:42:47.089,4,healthy,0.75,0.97,0.91,5,1
1.0.0,2026-06-23 19:42:47.089,4,unripe,0.71,0.95,0.88,4,0
1.0.0,2026-06-23 19:42:49.920,5,malformation,0.72,0.95,0.88,9,1
1.0.0,2026-06-23 19:42:51.770,6,healthy,0.74,0.96,0.86,5,1
1.0.0,2026-06-23 19:42:54.325,7,healthy,0.68,0.98,0.86,5,1
1.0.0,2026-06-23 19:42:54.325,7,unripe,0.9,0.95,0.94,4,0
1.0.0,2026-06-23 19:42:58.467,8,unripe,0.83,0.97,0.92,5,1
1.0.0,2026-06-23 19:42:58.467,8,twin,0.76,0.76,0.76,1,0
1.0.0,2026-06-23 19:42:59.855,9,healthy,0.82,0.95,0.89,5,1
1.0.0,2026-06-23 19:42:59.855,9,unripe,0.91,0.96,0.94,3,0
1.0.0,2026-06-23 19:43:02.844,10,malformation,0.74,0.96,0.84,7,1
1.0.0,2026-06-23 19:43:04.607,11,healthy,0.66,0.96,0.83,8,1
1.0.0,2026-06-23 19:43:06.961,12,healthy,0.82,0.98,0.92,5,0
1.0.0,2026-06-23 19:43:06.961,12,unripe,0.92,0.96,0.95,5,0
1.0.0,2026-06-23 19:43:06.961,12,malformation,0.9,0.9,0.9,1,1
1.0.0,2026-06-23 19:43:11.212,13,unripe,0.91,0.97,0.95,5,1
1.0.0,2026-06-23 19:43:11.212,13,twin,0.79,0.79,0.79,1,0
1.0.0,2026-06-23 19:43:12.671,14,healthy,0.76,0.95,0.86,5,1
1.0.0,2026-06-23 19:43:12.671,14,unripe,0.91,0.95,0.93,3,0
1.0.0,2026-06-23 19:43:15.561,15,malformation,0.76,0.96,0.9,9,1
1.0.0,2026-06-23 19:43:17.217,16,healthy,0.67,0.97,0.83,7,1
1.0.0,2026-06-23 19:43:17.217,16,unripe,0.79,0.79,0.79,1,0
1.0.0,2026-06-23 19:43:19.730,17,unripe,0.9,0.97,0.93,5,0
1.0.0,2026-06-23 19:43:19.730,17,healthy,0.95,0.97,0.96,3,0
1.0.0,2026-06-23 19:43:19.730,17,malformation,0.92,0.92,0.92,1,1
1.0.0,2026-06-23 19:43:24.030,18,unripe,0.69,0.96,0.87,6,1
1.0.0,2026-06-23 19:43:24.030,18,healthy,0.72,0.72,0.72,1,0
1.0.0,2026-06-23 19:43:25.540,19,healthy,0.96,0.97,0.96,3,1
1.0.0,2026-06-23 19:43:25.540,19,unripe,0.71,0.9,0.81,2,0
1.0.0,2026-06-23 19:43:28.351,20,malformation,0.89,0.96,0.92,5,1
1.0.0,2026-06-23 19:43:30.346,21,healthy,0.65,0.91,0.81,6,1
1.0.0,2026-06-23 19:43:32.803,22,unripe,0.9,0.96,0.94,4,0
1.0.0,2026-06-23 19:43:32.803,22,healthy,0.72,0.98,0.87,5,1
1.0.0,2026-06-23 19:43:36.836,23,unripe,0.87,0.96,0.91,5,1
1.0.0,2026-06-23 19:43:38.420,24,unripe,0.87,0.94,0.91,4,0
1.0.0,2026-06-23 19:43:38.420,24,healthy,0.75,0.96,0.9,4,1
1.0.0,2026-06-23 19:43:41.244,25,malformation,0.72,0.95,0.87,7,1
1.0.0,2026-06-23 19:43:43.035,26,healthy,0.72,0.95,0.87,6,1
1.0.0,2026-06-23 19:43:45.633,27,unripe,0.82,0.92,0.88,4,0
1.0.0,2026-06-23 19:43:45.633,27,healthy,0.8,0.98,0.87,4,0
1.0.0,2026-06-23 19:43:45.633,27,blacktwin,0.91,0.91,0.91,1,1
1.0.0,2026-06-23 19:43:49.666,28,unripe,0.92,0.97,0.95,6,1
1.0.0,2026-06-23 19:43:49.666,28,healthy,0.79,0.79,0.79,1,0
1.0.0,2026-06-23 19:43:51.084,29,healthy,0.67,0.95,0.82,4,1
1.0.0,2026-06-23 19:43:51.084,29,unripe,0.92,0.93,0.92,2,0
1.0.0,2026-06-23 19:43:53.946,30,malformation,0.73,0.96,0.89,11,1
1.0.0,2026-06-23 19:43:53.946,30,twin,0.78,0.78,0.78,1,0
1.0.0,2026-06-23 19:43:55.666,31,healthy,0.66,0.95,0.81,4,1
1.0.0,2026-06-23 19:43:58.193,32,unripe,0.77,0.95,0.85,4,0
1.0.0,2026-06-23 19:43:58.193,32,healthy,0.79,0.98,0.91,3,1
1.0.0,2026-06-23 19:43:58.193,32,malformation,0.83,0.83,0.83,1,0
1.0.0,2026-06-23 19:44:02.517,33,unripe,0.89,0.97,0.94,5,1
1.0.0,2026-06-23 19:44:02.517,33,healthy,0.89,0.89,0.89,1,0
1.0.0,2026-06-23 19:44:02.517,33,twin,0.83,0.83,0.83,1,0
1.0.0,2026-06-23 19:44:03.866,34,healthy,0.68,0.97,0.89,4,1
1.0.0,2026-06-23 19:44:03.866,34,unripe,0.94,0.95,0.95,3,0
1.0.0,2026-06-23 19:44:06.775,35,malformation,0.74,0.96,0.87,9,1
1.0.0,2026-06-23 19:44:08.664,36,healthy,0.73,0.95,0.86,7,1
1.0.0,2026-06-23 19:44:11.023,37,unripe,0.78,0.95,0.88,4,0
1.0.0,2026-06-23 19:44:11.023,37,healthy,0.86,0.97,0.91,4,1
1.0.0,2026-06-23 19:44:11.023,37,malformation,0.66,0.66,0.66,1,0
1.0.0,2026-06-23 19:44:15.283,38,unripe,0.9,0.97,0.94,6,1
1.0.0,2026-06-23 19:44:15.283,38,healthy,0.69,0.69,0.69,1,0
1.0.0,2026-06-23 19:44:16.716,39,healthy,0.95,0.95,0.95,1,1
1.0.0,2026-06-23 19:44:16.716,39,unripe,0.78,0.94,0.86,2,0
1.0.0,2026-06-23 19:44:19.556,40,malformation,0.69,0.96,0.85,5,1
1.0.0,2026-06-23 19:44:21.484,41,unripe,0.73,0.73,0.73,1,0
1.0.0,2026-06-23 19:44:21.484,41,healthy,0.82,0.94,0.89,6,1
1.0.0,2026-06-23 19:44:23.885,42,unripe,0.9,0.96,0.93,6,1
1.0.0,2026-06-23 19:44:23.885,42,healthy,0.94,0.98,0.96,4,0
1.0.0,2026-06-23 19:44:28.288,43,unripe,0.88,0.97,0.93,6,1
1.0.0,2026-06-23 19:44:28.288,43,healthy,0.68,0.68,0.68,1,0
1.0.0,2026-06-23 19:44:29.633,44,healthy,0.73,0.96,0.89,5,0
1.0.0,2026-06-23 19:44:29.633,44,unripe,0.92,0.96,0.93,4,1
1.0.0,2026-06-23 19:44:32.540,45,malformation,0.78,0.95,0.88,6,1
1.0.0,2026-06-23 19:44:34.366,46,healthy,0.67,0.96,0.82,7,1
1.0.0,2026-06-23 19:44:36.689,47,unripe,0.91,0.95,0.94,3,0
1.0.0,2026-06-23 19:44:36.689,47,healthy,0.79,0.97,0.88,2,1
1.0.0,2026-06-23 19:44:36.689,47,blacktwin,0.79,0.79,0.79,1,0
1.0.0,2026-06-23 19:44:40.861,48,unripe,0.82,0.97,0.92,6,1
1.0.0,2026-06-23 19:44:42.362,49,healthy,0.82,0.93,0.89,3,1
1.0.0,2026-06-23 19:44:42.362,49,unripe,0.92,0.92,0.92,1,0
1.0.0,2026-06-23 19:44:45.365,50,malformation,0.74,0.96,0.89,11,1
1.0.0,2026-06-23 19:44:47.095,51,healthy,0.71,0.95,0.84,7,1
1.0.0,2026-06-23 19:44:49.498,52,healthy,0.94,0.98,0.96,3,1
1.0.0,2026-06-23 19:44:49.498,52,unripe,0.88,0.96,0.93,3,0
1.0.0,2026-06-23 19:44:49.498,52,malformation,0.85,0.85,0.85,1,0
1.0.0,2026-06-23 19:44:53.715,53,unripe,0.78,0.97,0.89,4,1
1.0.0,2026-06-23 19:44:53.715,53,healthy,0.73,0.73,0.73,1,0
1.0.0,2026-06-23 19:44:55.194,54,healthy,0.72,0.97,0.86,4,1
1.0.0,2026-06-23 19:44:55.194,54,unripe,0.88,0.94,0.91,3,0
1.0.0,2026-06-23 19:44:58.041,55,malformation,0.82,0.95,0.9,4,1
1.0.0,2026-06-23 19:44:59.795,56,healthy,0.76,0.95,0.89,6,1
1.0.0,2026-06-23 19:45:02.361,57,unripe,0.81,0.96,0.89,3,0
1.0.0,2026-06-23 19:45:02.361,57,healthy,0.96,0.97,0.97,2,0
1.0.0,2026-06-23 19:45:02.361,57,malformation,0.91,0.91,0.91,1,1
1.0.0,2026-06-23 19:45:06.575,58,unripe,0.72,0.97,0.91,7,1
1.0.0,2026-06-23 19:45:06.575,58,healthy,0.66,0.66,0.66,1,0
1.0.0,2026-06-23 19:45:06.575,58,twin,0.81,0.81,0.81,1,0
1.0.0,2026-06-23 19:45:07.932,59,healthy,0.65,0.96,0.86,4,1
1.0.0,2026-06-23 19:45:07.932,59,unripe,0.7,0.93,0.84,3,0
1.0.0,2026-06-23 19:45:10.673,60,malformation,0.8,0.95,0.9,6,1
1.0.0,2026-06-23 19:45:12.675,61,unripe,0.68,0.68,0.68,1,0
1.0.0,2026-06-23 19:45:12.675,61,healthy,0.67,0.97,0.86,6,1
1.0.0,2026-06-23 19:45:15.102,62,unripe,0.72,0.96,0.9,4,1
1.0.0,2026-06-23 19:45:15.102,62,healthy,0.84,0.97,0.93,3,0
1.0.0,2026-06-23 19:45:15.102,62,malformation,0.87,0.87,0.87,1,0
1.0.0,2026-06-23 19:45:19.264,63,unripe,0.89,0.97,0.93,6,1
1.0.0,2026-06-23 19:45:19.264,63,healthy,0.79,0.79,0.79,1,0
1.0.0,2026-06-23 19:45:20.817,64,healthy,0.7,0.96,0.87,5,1
1.0.0,2026-06-23 19:45:20.817,64,unripe,0.73,0.95,0.88,5,0
1.0.0,2026-06-23 19:45:23.701,65,malformation,0.76,0.96,0.9,9,1
1.0.0,2026-06-23 19:45:25.537,66,healthy,0.67,0.93,0.82,5,1
1.0.0,2026-06-23 19:45:27.922,67,unripe,0.82,0.95,0.91,5,0
1.0.0,2026-06-23 19:45:27.922,67,healthy,0.96,0.98,0.97,4,0
1.0.0,2026-06-23 19:45:27.922,67,malformation,0.91,0.91,0.91,1,1
1.0.0,2026-06-23 19:45:32.222,68,unripe,0.73,0.97,0.86,5,1
1.0.0,2026-06-23 19:45:32.222,68,twin,0.78,0.78,0.78,1,0
1.0.0,2026-06-23 19:45:33.585,69,healthy,0.83,0.97,0.93,4,1
1.0.0,2026-06-23 19:45:33.585,69,unripe,0.86,0.95,0.9,3,0
1.0.0,2026-06-23 19:45:36.567,70,malformation,0.76,0.95,0.88,8,1
1.0.0,2026-06-23 19:45:38.344,71,healthy,0.71,0.96,0.85,7,1
1.0.0,2026-06-23 19:45:40.794,72,healthy,0.92,0.98,0.96,5,1
1.0.0,2026-06-23 19:45:40.794,72,unripe,0.67,0.95,0.86,5,0
1.0.0,2026-06-23 19:45:40.794,72,blacktwin,0.76,0.76,0.76,1,0
1.0.0,2026-06-23 19:45:45.011,73,unripe,0.75,0.97,0.89,5,1
1.0.0,2026-06-23 19:45:45.011,73,healthy,0.67,0.67,0.67,1,0
1.0.0,2026-06-23 19:45:46.385,74,healthy,0.77,0.97,0.87,5,1
1.0.0,2026-06-23 19:45:46.385,74,unripe,0.87,0.87,0.87,1,0
1.0.0,2026-06-23 19:45:49.342,75,malformation,0.76,0.96,0.9,7,1
1.0.0,2026-06-23 19:45:50.956,76,healthy,0.69,0.95,0.84,6,1
1.0.0,2026-06-23 19:45:53.555,77,unripe,0.89,0.96,0.93,4,1
1.0.0,2026-06-23 19:45:53.555,77,healthy,0.92,0.98,0.95,4,0
1.0.0,2026-06-23 19:45:57.809,78,healthy,0.73,0.93,0.83,2,0
1.0.0,2026-06-23 19:45:57.809,78,unripe,0.9,0.97,0.94,4,1
1.0.0,2026-06-23 19:45:59.159,79,unripe,0.84,0.94,0.89,4,0
1.0.0,2026-06-23 19:45:59.159,79,healthy,0.83,0.96,0.9,2,1
1.0.0,2026-06-23 19:46:02.098,80,malformation,0.69,0.96,0.87,9,1
1.0.0,2026-06-23 19:46:03.992,81,healthy,0.71,0.95,0.84,7,1
1.0.0,2026-06-23 19:46:06.416,82,unripe,0.88,0.96,0.93,4,0
1.0.0,2026-06-23 19:46:06.416,82,healthy,0.65,0.97,0.78,5,1
1.0.0,2026-06-23 19:46:06.416,82,malformation,0.75,0.75,0.75,1,0
1.0.0,2026-06-23 19:46:10.511,83,unripe,0.9,0.96,0.93,5,1
1.0.0,2026-06-23 19:46:12.074,84,healthy,0.78,0.97,0.89,4,1
1.0.0,2026-06-23 19:46:12.074,84,unripe,0.78,0.95,0.88,3,0
1.0.0,2026-06-23 19:46:14.969,85,malformation,0.69,0.96,0.89,12,1
1.0.0,2026-06-23 19:46:16.812,86,healthy,0.73,0.95,0.87,4,1
