schema_version,timestamp,cycle_id,class,conf_min,conf_max,conf_ave,num_detections,final_flag
1.0.0,2026-06-23 19:46:19.172,87,unripe,0.85,0.96,0.9,5,0
1.0.0,2026-06-23 19:46:19.172,87,healthy,0.97,0.97,0.97,3,1
1.0.0,2026-06-23 19:46:23.162,88,unripe,0.94,0.97,0.96,4,1
1.0.0,2026-06-23 19:46:23.162,88,healthy,0.75,0.75,0.75,1,0
1.0.0,2026-06-23 19:46:24.897,89,unripe,0.9,0.96,0.93,3,0
1.0.0,2026-06-23 19:46:24.897,89,healthy,0.73,0.97,0.89,3,1
1.0.0,2026-06-23 19:46:27.752,90,malformation,0.83,0.95,0.91,10,1
1.0.0,2026-06-23 19:46:29.598,91,healthy,0.7,0.95,0.84,8,1
1.0.0,2026-06-23 19:46:32.005,92,unripe,0.81,0.96,0.9,7,0
1.0.0,2026-06-23 19:46:32.005,92,healthy,0.71,0.97,0.87,5,1
1.0.0,2026-06-23 19:46:36.231,93,unripe,0.86,0.97,0.94,5,1
1.0.0,2026-06-23 19:46:36.231,93,healthy,0.67,0.67,0.67,1,0
1.0.0,2026-06-23 19:46:37.518,94,healthy,0.96,0.96,0.96,1,1
1.0.0,2026-06-23 19:46:37.518,94,unripe,0.85,0.85,0.85,1,0
1.0.0,2026-06-23 19:46:40.661,95,malformation,0.73,0.96,0.88,10,1
1.0.0,2026-06-23 19:46:42.410,96,healthy,0.68,0.95,0.82,9,1
1.0.0,2026-06-23 19:46:44.823,97,unripe,0.69,0.96,0.91,7,1
1.0.0,2026-06-23 19:46:44.823,97,healthy,0.87,0.97,0.94,3,0
1.0.0,2026-06-23 19:46:49.265,98,healthy,0.66,0.84,0.75,2,0
1.0.0,2026-06-23 19:46:49.265,98,unripe,0.72,0.97,0.9,6,1
1.0.0,2026-06-23 19:46:50.468,99,healthy,0.76,0.95,0.88,4,1
1.0.0,2026-06-23 19:46:50.468,99,unripe,0.91,0.94,0.92,3,0
1.0.0,2026-06-23 19:46:53.341,100,malformation,0.84,0.96,0.91,10,1
1.0.0,2026-06-23 19:46:55.048,101,healthy,0.74,0.95,0.86,6,1
1.0.0,2026-06-23 19:46:57.876,102,unripe,0.76,0.97,0.88,5,0
1.0.0,2026-06-23 19:46:57.876,102,healthy,0.65,0.98,0.8,6,1
1.0.0,2026-06-23 19:47:01.762,103,unripe,0.85,0.96,0.91,6,1
1.0.0,2026-06-23 19:47:03.308,104,unripe,0.9,0.95,0.93,3,0
1.0.0,2026-06-23 19:47:03.308,104,healthy,0.76,0.96,0.84,3,1
1.0.0,2026-06-23 19:47:06.225,105,malformation,0.75,0.95,0.87,10,1
1.0.0,2026-06-23 19:47:08.068,106,healthy,0.77,0.95,0.86,7,1
1.0.0,2026-06-23 19:47:10.441,107,unripe,0.84,0.97,0.91,7,0
1.0.0,2026-06-23 19:47:10.441,107,healthy,0.67,0.97,0.84,6,1
1.0.0,2026-06-23 19:47:10.441,107,malformation,0.65,0.65,0.65,1,0
1.0.0,2026-06-23 19:47:14.578,108,unripe,0.68,0.95,0.86,5,1
1.0.0,2026-06-23 19:47:16.101,109,healthy,0.74,0.97,0.88,3,1
1.0.0,2026-06-23 19:47:18.828,110,malformation,0.79,0.95,0.88,4,1
1.0.0,2026-06-23 19:47:20.766,111,healthy,0.68,0.97,0.81,8,1
1.0.0,2026-06-23 19:47:23.151,112,unripe,0.8,0.96,0.89,6,0
1.0.0,2026-06-23 19:47:23.151,112,healthy,0.86,0.97,0.94,4,1
1.0.0,2026-06-23 19:47:27.465,113,unripe,0.69,0.97,0.89,7,1
1.0.0,2026-06-23 19:47:27.465,113,healthy,0.87,0.87,0.87,1,0
1.0.0,2026-06-23 19:47:28.942,114,healthy,0.76,0.96,0.87,4,1
1.0.0,2026-06-23 19:47:28.942,114,unripe,0.7,0.91,0.85,4,0
1.0.0,2026-06-23 19:47:31.654,115,malformation,0.69,0.95,0.85,5,1
1.0.0,2026-06-23 19:47:33.669,116,healthy,0.65,0.95,0.79,9,1
1.0.0,2026-06-23 19:47:36.049,117,healthy,0.82,0.97,0.93,5,0
1.0.0,2026-06-23 19:47:36.049,117,unripe,0.87,0.96,0.92,6,1
1.0.0,2026-06-23 19:47:40.228,118,unripe,0.84,0.97,0.9,4,1
1.0.0,2026-06-23 19:47:41.706,119,healthy,0.84,0.96,0.91,4,1
1.0.0,2026-06-23 19:47:41.706,119,unripe,0.91,0.92,0.92,2,0
1.0.0,2026-06-23 19:47:44.651,120,malformation,0.88,0.95,0.92,2,1
1.0.0,2026-06-23 19:47:46.482,121,healthy,0.7,0.96,0.82,6,1
1.0.0,2026-06-23 19:47:48.905,122,unripe,0.85,0.96,0.91,6,0
1.0.0,2026-06-23 19:47:48.905,122,healthy,0.86,0.97,0.94,4,1
1.0.0,2026-06-23 19:47:53.082,123,unripe,0.73,0.97,0.84,4,1
1.0.0,2026-06-23 19:47:54.755,124,healthy,0.67,0.97,0.86,5,1
1.0.0,2026-06-23 19:47:54.755,124,unripe,0.89,0.95,0.92,2,0
1.0.0,2026-06-23 19:47:57.404,125,malformation,0.77,0.96,0.9,7,1
1.0.0,2026-06-23 19:47:59.410,126,healthy,0.72,0.96,0.88,8,1
1.0.0,2026-06-23 19:48:01.713,127,unripe,0.85,0.95,0.92,4,0
1.0.0,2026-06-23 19:48:01.713,127,healthy,0.88,0.97,0.95,4,1
1.0.0,2026-06-23 19:48:01.713,127,blacktwin,0.74,0.74,0.74,1,0
1.0.0,2026-06-23 19:48:05.966,128,unripe,0.66,0.95,0.86,4,1
1.0.0,2026-06-23 19:48:05.966,128,healthy,0.87,0.87,0.87,1,0
1.0.0,2026-06-23 19:48:05.966,128,twin,0.78,0.78,0.78,1,0
1.0.0,2026-06-23 19:48:07.414,129,healthy,0.69,0.97,0.88,4,1
1.0.0,2026-06-23 19:48:07.414,129,unripe,0.86,0.93,0.9,2,0
1.0.0,2026-06-23 19:48:09.891,130,malformation,0.76,0.96,0.9,4,1
1.0.0,2026-06-23 19:48:11.937,131,healthy,0.74,0.96,0.89,7,1
1.0.0,2026-06-23 19:48:14.537,132,healthy,0.87,0.96,0.93,3,1
1.0.0,2026-06-23 19:48:14.537,132,unripe,0.76,0.95,0.88,4,0
1.0.0,2026-06-23 19:48:18.787,133,unripe,0.83,0.97,0.93,5,1
1.0.0,2026-06-23 19:48:18.787,133,healthy,0.88,0.88,0.88,1,0
1.0.0,2026-06-23 19:48:18.787,133,twin,0.84,0.84,0.84,1,0
1.0.0,2026-06-23 19:48:20.189,134,unripe,0.85,0.9,0.87,2,0
1.0.0,2026-06-23 19:48:20.189,134,healthy,0.86,0.95,0.9,3,1
1.0.0,2026-06-23 19:48:23.090,135,malformation,0.75,0.96,0.89,8,1
1.0.0,2026-06-23 19:48:24.958,136,healthy,0.68,0.92,0.83,8,1
1.0.0,2026-06-23 19:48:27.333,137,unripe,0.74,0.96,0.9,6,0
1.0.0,2026-06-23 19:48:27.333,137,healthy,0.84,0.97,0.94,4,1
1.0.0,2026-06-23 19:48:31.408,138,unripe,0.86,0.96,0.92,6,1
1.0.0,2026-06-23 19:48:31.408,138,healthy,0.65,0.65,0.65,1,0
1.0.0,2026-06-23 19:48:32.970,139,unripe,0.84,0.95,0.89,5,0
1.0.0,2026-06-23 19:48:32.970,139,healthy,0.73,0.94,0.85,3,1
1.0.0,2026-06-23 19:48:35.993,140,malformation,0.74,0.96,0.9,12,1
1.0.0,2026-06-23 19:48:37.708,141,healthy,0.7,0.95,0.85,5,1
1.0.0,2026-06-23 19:48:40.102,142,healthy,0.76,0.98,0.87,5,1
1.0.0,2026-06-23 19:48:40.102,142,unripe,0.82,0.94,0.89,4,0
1.0.0,2026-06-23 19:48:44.321,143,healthy,0.8,0.83,0.81,2,0
1.0.0,2026-06-23 19:48:44.321,143,unripe,0.69,0.96,0.88,6,1
1.0.0,2026-06-23 19:48:45.785,144,unripe,0.92,0.94,0.93,2,0
1.0.0,2026-06-23 19:48:45.785,144,healthy,0.74,0.96,0.86,5,1
1.0.0,2026-06-23 19:48:48.525,145,malformation,0.68,0.96,0.87,9,1
1.0.0,2026-06-23 19:48:50.546,146,healthy,0.65,0.95,0.83,6,1
1.0.0,2026-06-23 19:48:52.989,147,unripe,0.75,0.96,0.9,4,0
1.0.0,2026-06-23 19:48:52.989,147,healthy,0.94,0.97,0.96,3,1
1.0.0,2026-06-23 19:48:52.989,147,blacktwin,0.9,0.9,0.9,1,0
1.0.0,2026-06-23 19:48:57.221,148,unripe,0.73,0.97,0.89,6,1
1.0.0,2026-06-23 19:48:57.221,148,healthy,0.83,0.83,0.83,1,0
1.0.0,2026-06-23 19:48:58.571,149,healthy,0.92,0.97,0.94,3,1
1.0.0,2026-06-23 19:48:58.571,149,unripe,0.89,0.94,0.91,3,0
1.0.0,2026-06-23 19:49:01.500,150,malformation,0.8,0.96,0.86,6,1
1.0.0,2026-06-23 19:49:03.291,151,healthy,0.68,0.96,0.83,7,1
1.0.0,2026-06-23 19:49:05.812,152,healthy,0.76,0.97,0.91,4,1
1.0.0,2026-06-23 19:49:05.812,152,unripe,0.9,0.91,0.9,3,0
1.0.0,2026-06-23 19:49:09.886,153,unripe,0.9,0.97,0.93,5,1
1.0.0,2026-06-23 19:49:11.420,154,healthy,0.77,0.93,0.88,4,1
1.0.0,2026-06-23 19:49:11.420,154,unripe,0.93,0.94,0.93,3,0
1.0.0,2026-06-23 19:49:14.323,155,malformation,0.71,0.96,0.86,8,1
1.0.0,2026-06-23 19:49:16.175,156,healthy,0.68,0.96,0.84,6,1
1.0.0,2026-06-23 19:49:18.729,157,unripe,0.88,0.96,0.93,4,0
1.0.0,2026-06-23 19:49:18.729,157,healthy,0.67,0.97,0.87,4,1
1.0.0,2026-06-23 19:49:18.729,157,malformation,0.73,0.73,0.73,1,0
1.0.0,2026-06-23 19:49:22.843,158,unripe,0.83,0.97,0.89,6,1
1.0.0,2026-06-23 19:49:22.843,158,healthy,0.7,0.7,0.7,1,0
1.0.0,2026-06-23 19:49:24.252,159,healthy,0.66,0.96,0.79,5,1
1.0.0,2026-06-23 19:49:24.252,159,unripe,0.89,0.94,0.91,4,0
1.0.0,2026-06-23 19:49:27.080,160,malformation,0.72,0.96,0.89,6,1
1.0.0,2026-06-23 19:49:28.990,161,healthy,0.66,0.96,0.87,4,1
1.0.0,2026-06-23 19:49:31.392,162,healthy,0.83,0.97,0.93,4,1
1.0.0,2026-06-23 19:49:31.392,162,unripe,0.92,0.97,0.94,4,0
1.0.0,2026-06-23 19:49:35.722,163,unripe,0.79,0.97,0.88,4,1
1.0.0,2026-06-23 19:49:35.722,163,healthy,0.86,0.86,0.86,1,0
1.0.0,2026-06-23 19:49:37.066,164,healthy,0.84,0.96,0.93,4,1
1.0.0,2026-06-23 19:49:37.066,164,unripe,0.94,0.95,0.95,3,0
1.0.0,2026-06-23 19:49:39.680,165,malformation,0.73,0.96,0.89,6,1
1.0.0,2026-06-23 19:49:41.797,166,healthy,0.83,0.96,0.91,6,1
1.0.0,2026-06-23 19:49:44.229,167,unripe,0.91,0.97,0.94,5,0
1.0.0,2026-06-23 19:49:44.229,167,healthy,0.92,0.97,0.95,4,1
1.0.0,2026-06-23 19:49:48.454,168,healthy,0.84,0.92,0.88,2,1
1.0.0,2026-06-23 19:49:48.454,168,unripe,0.74,0.96,0.87,6,0
1.0.0,2026-06-23 19:49:48.454,168,twin,0.78,0.78,0.78,1,0
1.0.0,2026-06-23 19:49:49.898,169,healthy,0.66,0.97,0.87,5,1
1.0.0,2026-06-23 19:49:49.898,169,unripe,0.84,0.95,0.87,3,0
1.0.0,2026-06-23 19:49:52.815,170,malformation,0.73,0.96,0.9,10,1
1.0.0,2026-06-23 19:49:54.529,171,healthy,0.71,0.95,0.86,7,1
1.0.0,2026-06-23 19:49:56.972,172,unripe,0.89,0.97,0.93,3,0
1.0.0,2026-06-23 19:49:56.972,172,healthy,0.95,0.97,0.97,3,1
1.0.0,2026-06-23 19:50:01.080,173,healthy,0.7,0.7,0.7,1,0
1.0.0,2026-06-23 19:50:01.080,173,unripe,0.65,0.97,0.87,5,1
1.0.0,2026-06-23 19:50:02.657,174,healthy,0.67,0.95,0.83,3,1
1.0.0,2026-06-23 19:50:02.657,174,unripe,0.91,0.95,0.92,3,0
1.0.0,2026-06-23 19:50:05.623,175,malformation,0.77,0.96,0.88,8,1
1.0.0,2026-06-23 19:50:07.447,176,healthy,0.72,0.96,0.85,6,1
1.0.0,2026-06-23 19:50:09.848,177,unripe,0.88,0.94,0.91,3,0
1.0.0,2026-06-23 19:50:09.848,177,healthy,0.84,0.96,0.9,4,1
1.0.0,2026-06-23 19:50:09.848,177,blacktwin,0.81,0.81,0.81,1,0
1.0.0,2026-06-23 19:50:14.130,178,unripe,0.88,0.96,0.92,4,1
1.0.0,2026-06-23 19:50:14.130,178,healthy,0.81,0.81,0.81,1,0
1.0.0,2026-06-23 19:50:14.130,178,twin,0.74,0.74,0.74,1,0
1.0.0,2026-06-23 19:50:15.517,179,healthy,0.94,0.94,0.94,1,1
1.0.0,2026-06-23 19:50:15.517,179,unripe,0.81,0.91,0.86,2,0
1.0.0,2026-06-23 19:50:18.355,180,malformation,0.75,0.95,0.88,11,1
1.0.0,2026-06-23 19:50:20.320,181,healthy,0.66,0.96,0.87,6,1
1.0.0,2026-06-23 19:50:22.534,182,unripe,0.84,0.96,0.9,5,0
1.0.0,2026-06-23 19:50:22.534,182,healthy,0.73,0.97,0.89,3,1
1.0.0,2026-06-23 19:50:27.071,183,unripe,0.82,0.97,0.89,5,0
1.0.0,2026-06-23 19:50:27.071,183,healthy,0.66,0.68,0.67,2,1
1.0.0,2026-06-23 19:50:27.071,183,twin,0.66,0.66,0.66,1,0
1.0.0,2026-06-23 19:50:28.308,184,healthy,0.68,0.97,0.85,5,1
1.0.0,2026-06-23 19:50:28.308,184,unripe,0.82,0.89,0.86,3,0
1.0.0,2026-06-23 19:50:31.312,185,malformation,0.66,0.96,0.87,12,1
1.0.0,2026-06-23 19:50:32.962,186,healthy,0.68,0.96,0.85,5,1
1.0.0,2026-06-23 19:50:35.500,187,unripe,0.83,0.96,0.92,4,0
1.0.0,2026-06-23 19:50:35.500,187,healthy,0.67,0.97,0.87,3,1
1.0.0,2026-06-23 19:50:35.500,187,malformation,0.78,0.78,0.78,1,0
1.0.0,2026-06-23 19:50:39.589,188,unripe,0.67,0.96,0.87,4,1
1.0.0,2026-06-23 19:50:41.082,189,healthy,0.89,0.97,0.94,4,1
