schema_version,timestamp,cycle_id,capture_latency[ms],frame_dropped[n],hsv_flag,hsv_mask_ratio,infer_latency[ms],preproc[ms],postproc[ms],capture_sum[ms],capture_frames[n],hsv_sum[ms],hsv_frames[n],visible_frames[n],preproc_sum[ms],infer_sum[ms],infer_count[n],postproc_sum[ms],total_per_fruit[ms],visible_dur[s],cycle_dur[s],eject_flag,planned_eject_ts,eject_delay[ms],outcome_flag,yolo_no_det_flag,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w]
1.0.0,2026-08-05 03:01:02.989,260,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:02.819,12.65,1,,,,,,,,
1.0.0,2026-08-05 03:01:03.607,259,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:03.445,7.14,1,,,,,,,,
1.0.0,2026-08-05 03:01:04.027,263,49.1,0,1,0.2372,6.2,0.62,4.02,70.67,100,733.11,100,24,7.39,74.46,12,48.18,933.81,0.156,1.25,1,,,,0,,13.9,54,6,2040,2545.385472,36.864
1.0.0,2026-08-05 03:01:04.184,261,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:04.028,3.63,1,,,,,,,,
1.0.0,2026-08-05 03:01:05.372,264,49.34,0,1,0.2047,6.15,0.51,1.33,74.84,106,692.99,106,29,6.13,73.8,12,15.93,863.69,0.234,1.344,0,,,,0,,13.3,54,11,2040,2545.385472,36.605
1.0.0,2026-08-05 03:01:06.315,265,49.21,0,1,0.2239,6.36,0.52,1.34,88.19,76,541.18,76,22,6.25,76.32,12,16.09,728.03,0.14,0.937,1,,,,0,,13.2,54,5,2040,2545.385472,36.935
1.0.0,2026-08-05 03:01:06.594,263,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:06.427,7.07,1,,,,,,,,
1.0.0,2026-08-05 03:01:07.011,262,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:06.853,3.79,1,,,,,,,,
1.0.0,2026-08-05 03:01:07.471,266,49.09,0,1,0.1933,6.03,0.72,1.27,67.1,92,592.01,92,27,8.7,72.41,12,15.27,755.49,0.188,1.157,0,,,,0,,15.0,54,19,2040,2545.385472,36.37
1.0.0,2026-08-05 03:01:08.482,267,49.28,0,1,0.2101,6.32,0.48,1.54,66.81,82,592.2,82,25,5.74,75.8,12,18.46,759.01,0.203,1.015,1,,,,0,,14.0,54,11,2040,2545.385472,36.955
1.0.0,2026-08-05 03:01:08.888,265,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:08.715,13.82,1,,,,,,,,
1.0.0,2026-08-05 03:01:09.602,264,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:09.443,5.38,1,,,,,,,,
1.0.0,2026-08-05 03:01:09.678,268,48.96,0,1,0.1238,6.05,0.56,1.33,70.11,95,487.28,95,34,6.75,72.59,12,16.0,652.73,0.188,1.188,1,,,,0,,12.8,54,3,2040,2545.385472,36.48
1.0.0,2026-08-05 03:01:10.927,269,49.35,0,1,0.2005,6.65,0.58,1.31,75.48,100,623.55,100,27,6.98,79.86,12,15.71,801.58,0.156,1.25,1,,,,0,,10.4,54,3,2040,2545.385472,37.043
1.0.0,2026-08-05 03:01:11.060,267,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:10.882,4.34,1,,,,,,,,
1.0.0,2026-08-05 03:01:11.712,266,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:11.544,8.65,1,,,,,,,,
1.0.0,2026-08-05 03:01:12.177,270,49.06,0,1,0.1935,6.24,0.55,1.31,70.27,100,644.43,100,28,6.58,74.85,12,15.76,811.89,0.156,1.25,0,,,,0,,12.9,54,10,2040,2545.385472,36.965
1.0.0,2026-08-05 03:01:12.237,268,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:12.078,4.0,1,,,,,,,,
1.0.0,2026-08-05 03:01:13.211,271,49.16,0,1,0.1686,6.59,0.6,1.36,69.4,83,558.21,83,28,7.26,79.14,12,16.35,730.36,0.157,1.047,1,,,,0,,14.9,54,10,2040,2545.385472,36.43
1.0.0,2026-08-05 03:01:13.490,269,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:13.327,3.58,1,,,,,,,,
1.0.0,2026-08-05 03:01:14.419,272,49.2,0,1,0.1973,12.97,0.86,1.38,70.86,97,594.4,97,28,10.35,155.64,12,16.51,847.76,0.156,1.203,1,,,,0,,15.0,54,20,2040,2545.385472,36.637
1.0.0,2026-08-05 03:01:15.582,273,49.15,0,1,0.188,6.27,0.63,1.26,63.94,93,591.49,93,28,7.54,75.26,12,15.15,753.38,0.156,1.156,0,,,,0,,14.0,54,3,2040,2545.385472,36.751
1.0.0,2026-08-05 03:01:15.781,271,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:15.611,9.28,1,,,,,,,,
1.0.0,2026-08-05 03:01:16.406,270,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:16.248,4.38,1,,,,,,,,
1.0.0,2026-08-05 03:01:16.831,274,49.36,0,1,0.2369,6.82,0.64,1.35,68.97,100,704.96,100,24,7.66,81.81,12,16.23,879.63,0.156,1.25,1,,,,0,,11.5,54,3,2040,2545.385472,36.956
1.0.0,2026-08-05 03:01:16.996,272,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:16.827,4.21,1,,,,,,,,
1.0.0,2026-08-05 03:01:18.169,275,49.23,0,1,0.2057,6.88,0.54,1.36,75.43,106,686.37,106,25,6.48,82.54,12,16.36,867.18,0.187,1.344,0,,,,0,,14.4,54,12,2040,2545.385472,36.932
1.0.0,2026-08-05 03:01:19.115,276,38.51,0,1,0.2241,6.34,0.51,1.33,93.61,76,572.61,76,22,6.17,76.09,12,15.98,764.46,0.141,0.937,1,,,,0,,15.3,54,11,2040,2545.385472,36.625
1.0.0,2026-08-05 03:01:19.402,274,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:19.231,11.7,1,,,,,,,,
1.0.0,2026-08-05 03:01:19.807,273,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:19.653,3.15,1,,,,,,,,
1.0.0,2026-08-05 03:01:20.281,277,49.13,0,1,0.1933,6.6,0.53,1.42,72.55,94,716.43,93,29,6.33,79.16,12,17.01,891.48,0.203,1.172,0,,,,0,,17.4,54,11,2040,2622.332928,36.724
1.0.0,2026-08-05 03:01:21.282,278,48.42,0,1,0.2112,5.59,0.54,1.21,68.15,80,640.01,81,24,6.48,67.04,12,14.52,796.2,0.156,1.0,1,,,,0,,14.8,54,11,2040,2622.332928,36.999
1.0.0,2026-08-05 03:01:21.692,276,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:21.515,19.28,1,,,,,,,,
1.0.0,2026-08-05 03:01:22.398,275,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:22.240,8.12,1,,,,,,,,
1.0.0,2026-08-05 03:01:22.481,279,49.1,0,1,0.1242,6.27,0.62,1.48,67.43,96,520.71,96,34,7.41,75.25,12,17.74,688.54,0.203,1.203,1,,,,0,,13.8,54,19,2040,2624.954368,36.659
1.0.0,2026-08-05 03:01:23.764,280,49.18,0,1,0.2006,6.44,0.56,1.43,71.62,102,654.09,102,28,6.68,77.27,12,17.1,826.76,0.188,1.282,1,,,,0,,14.6,54,3,2040,2624.954368,36.311
1.0.0,2026-08-05 03:01:23.840,278,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:23.682,3.96,1,,,,,,,,
1.0.0,2026-08-05 03:01:24.510,277,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:24.352,3.86,1,,,,,,,,
1.0.0,2026-08-05 03:01:25.010,281,49.12,0,1,0.1936,6.13,0.58,1.42,72.42,100,656.65,100,27,6.92,73.53,12,17.06,826.58,0.204,1.25,0,,,,0,,14.3,54,6,2040,2624.954368,36.933
1.0.0,2026-08-05 03:01:25.047,279,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:24.881,4.05,1,,,,,,,,
1.0.0,2026-08-05 03:01:26.032,282,49.04,0,1,0.1687,6.24,0.57,1.33,66.23,82,562.26,82,28,6.81,74.85,12,15.93,726.08,0.156,1.015,1,,,,0,,15.4,54,21,2040,2621.325312,37.152
1.0.0,2026-08-05 03:01:26.337,280,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:26.164,13.6,1,,,,,,,,
1.0.0,2026-08-05 03:01:27.231,283,49.17,0,1,0.1973,8.7,0.67,1.66,71.27,96,616.73,96,26,8.01,104.34,12,19.89,820.24,0.156,1.203,1,,,,0,,15.6,54,21,2040,2540.25728,39.055
1.0.0,2026-08-05 03:01:28.377,284,49.25,0,1,0.1882,6.92,0.64,1.43,65.99,91,605.6,91,29,7.71,83.1,12,17.1,779.5,0.156,1.141,0,,,,0,,15.0,54,21,2040,2537.111552,39.102
1.0.0,2026-08-05 03:01:28.620,282,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:28.432,34.2,1,,,,,,,,
1.0.0,2026-08-05 03:01:29.248,281,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:29.081,12.37,1,,,,,,,,
1.0.0,2026-08-05 03:01:29.665,285,49.32,0,1,0.2365,6.55,0.49,1.43,76.09,103,752.36,103,22,5.85,78.64,12,17.15,930.09,0.187,1.297,1,,,,0,,19.2,54,23,2040,2537.111552,38.707
1.0.0,2026-08-05 03:01:29.801,283,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:29.631,4.52,1,,,,,,,,
1.0.0,2026-08-05 03:01:30.918,286,49.26,0,1,0.2046,7.98,0.7,1.5,78.41,100,668.3,100,30,8.41,95.79,12,17.98,868.89,0.187,1.25,0,,,,0,,19.0,54,13,2040,2550.284288,39.402
1.0.0,2026-08-05 03:01:31.927,287,49.21,0,1,0.2241,6.56,0.57,1.3,65.61,81,661.43,81,22,6.86,78.68,12,15.55,828.13,0.156,1.0,1,,,,0,,16.2,54,14,2040,2550.284288,39.106
1.0.0,2026-08-05 03:01:32.241,285,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:32.065,16.98,1,,,,,,,,
1.0.0,2026-08-05 03:01:32.618,284,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:32.448,2.28,1,,,,,,,,
1.0.0,2026-08-05 03:01:33.081,288,49.26,0,1,0.1934,6.26,0.67,1.33,62.93,93,635.45,92,27,8.02,75.12,12,15.91,797.43,0.156,1.156,0,,,,0,,12.0,54,12,2040,2550.284288,36.558
1.0.0,2026-08-05 03:01:34.164,289,49.36,0,1,0.2106,6.57,0.53,1.23,65.93,86,615.61,87,26,6.39,78.85,12,14.77,781.55,0.219,1.094,1,,,,0,,14.7,54,10,2040,2550.284288,36.932
1.0.0,2026-08-05 03:01:34.490,287,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:34.327,4.04,1,,,,,,,,
1.0.0,2026-08-05 03:01:35.148,286,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:34.990,3.58,1,,,,,,,,
1.0.0,2026-08-05 03:01:35.281,290,49.22,0,1,0.1239,10.42,0.73,1.67,65.91,90,542.75,90,33,8.81,125.09,12,20.07,762.63,0.156,1.109,1,,,,0,,14.2,54,11,2040,2550.284288,36.954
1.0.0,2026-08-05 03:01:36.537,291,49.31,0,1,0.2009,6.61,0.58,1.25,75.3,101,647.03,101,28,6.91,79.35,12,15.05,823.64,0.156,1.25,1,,,,0,,14.9,54,20,2040,2550.284288,36.581
1.0.0,2026-08-05 03:01:36.739,289,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:36.564,8.17,1,,,,,,,,
1.0.0,2026-08-05 03:01:37.310,288,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:37.152,3.94,1,,,,,,,,
1.0.0,2026-08-05 03:01:37.831,292,52.82,0,1,0.1934,5.89,0.56,1.45,79.68,103,605.29,101,27,6.76,70.7,12,17.46,779.89,0.156,1.297,0,,,,0,,10.1,54,3,2040,2550.284288,36.817
1.0.0,2026-08-05 03:01:37.840,290,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:37.681,4.46,1,,,,,,,,
1.0.0,2026-08-05 03:01:38.873,293,56.68,0,1,0.1688,6.41,0.51,1.37,96.55,83,518.85,85,28,6.11,76.93,12,16.41,714.85,0.172,1.047,1,,,,0,,12.5,54,5,2040,2550.284288,37.088
1.0.0,2026-08-05 03:01:39.095,291,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:38.937,6.65,1,,,,,,,,
1.0.0,2026-08-05 03:01:40.081,294,68.91,4,1,0.1975,7.56,0.64,1.5,75.11,93,644.42,93,27,7.67,90.71,12,17.94,835.85,0.203,1.203,1,,,,0,,13.5,54,6,2040,2550.284288,36.902
1.0.0,2026-08-05 03:01:41.264,295,49.08,0,1,0.1882,8.18,0.54,1.77,73.38,94,658.05,94,27,6.46,98.15,12,21.18,857.22,0.235,1.188,0,,,,0,,16.8,54,10,2040,2550.284288,36.51
1.0.0,2026-08-05 03:01:41.436,293,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:41.277,1.64,1,,,,,,,,
1.0.0,2026-08-05 03:01:42.060,292,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:41.902,3.24,1,,,,,,,,
1.0.0,2026-08-05 03:01:42.514,296,49.27,0,1,0.2372,9.63,0.61,4.17,81.07,100,735.21,100,22,7.29,115.51,12,50.04,989.12,0.188,1.25,1,,,,0,,15.2,54,18,2040,2550.284288,36.86
1.0.0,2026-08-05 03:01:42.653,294,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:42.481,8.05,1,,,,,,,,
1.0.0,2026-08-05 03:01:43.718,297,49.28,0,1,0.2051,12.76,2.41,1.35,197.28,98,767.72,95,28,28.88,153.16,12,16.21,1163.25,0.141,1.203,0,,,,0,,15.0,54,4,2040,2550.153216,36.574
1.0.0,2026-08-05 03:01:44.726,298,49.24,0,1,0.2244,6.65,0.67,1.36,94.87,79,590.36,80,22,7.99,79.76,12,16.26,789.24,0.157,1.0,1,,,,0,,15.4,54,6,2040,2550.153216,36.574
1.0.0,2026-08-05 03:01:45.095,296,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:44.914,6.55,1,,,,,,,,
1.0.0,2026-08-05 03:01:45.497,295,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:45.335,7.97,1,,,,,,,,
1.0.0,2026-08-05 03:01:45.876,299,49.08,0,1,0.1935,6.45,0.67,1.37,65.63,92,612.24,92,26,8.0,77.37,12,16.49,779.73,0.156,1.156,0,,,,0,,16.9,54,4,2040,2550.153216,36.403
1.0.0,2026-08-05 03:01:46.926,300,49.34,0,1,0.2101,6.89,0.53,1.44,65.82,84,566.9,84,25,6.41,82.71,12,17.23,739.07,0.188,1.047,1,,,,0,,16.0,54,7,2040,2550.153216,37.096
1.0.0,2026-08-05 03:01:47.333,298,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:47.126,15.35,1,,,,,,,,
1.0.0,2026-08-05 03:01:47.960,297,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:47.789,16.81,1,,,,,,,,
1.0.0,2026-08-05 03:01:48.126,301,49.2,0,1,0.1239,7.32,0.61,1.41,75.14,96,484.65,96,32,7.33,87.83,12,16.9,671.85,0.203,1.203,1,,,,0,,11.6,54,13,2040,2550.153216,36.964
1.0.0,2026-08-05 03:01:49.326,302,39.55,0,1,0.2013,6.51,0.72,1.53,73.21,96,642.39,96,26,8.63,78.11,12,18.31,820.65,0.156,1.203,1,,,,0,,14.3,54,11,2040,2550.153216,36.647
1.0.0,2026-08-05 03:01:49.487,300,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:49.326,4.05,1,,,,,,,,
1.0.0,2026-08-05 03:01:50.105,299,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:49.947,4.02,1,,,,,,,,
1.0.0,2026-08-05 03:01:50.631,303,48.85,0,1,0.1934,6.43,0.65,1.39,86.28,105,693.66,104,29,7.75,77.2,12,16.72,881.61,0.156,1.297,0,,,,0,,15.7,54,13,2040,2550.153216,36.399
1.0.0,2026-08-05 03:01:50.684,301,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:50.526,3.9,1,,,,,,,,
1.0.0,2026-08-05 03:01:51.681,304,49.15,0,1,0.1687,7.26,0.67,1.34,69.6,84,593.77,85,27,8.1,87.12,12,16.14,774.73,0.156,1.047,1,,,,0,,14.6,54,4,2040,2550.153216,37.007
1.0.0,2026-08-05 03:01:51.884,302,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:51.726,4.62,1,,,,,,,,
1.0.0,2026-08-05 03:01:52.889,305,48.97,0,1,0.1977,10.08,0.63,1.38,78.89,97,613.96,97,29,7.54,120.95,12,16.59,837.93,0.172,1.219,1,,,,0,,14.4,54,3,2040,2550.153216,36.942
1.0.0,2026-08-05 03:01:54.030,306,49.06,0,1,0.1879,6.68,0.64,1.33,69.87,91,601.14,91,27,7.67,80.19,12,15.98,774.85,0.125,1.14,0,,,,0,,15.0,54,8,2040,2550.153216,37.016
1.0.0,2026-08-05 03:01:54.248,304,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:54.081,4.69,1,,,,,,,,
1.0.0,2026-08-05 03:01:54.859,303,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:54.702,3.13,1,,,,,,,,
1.0.0,2026-08-05 03:01:55.280,307,48.64,0,1,0.2378,5.96,0.52,1.35,81.58,100,738.68,100,21,6.23,71.5,12,16.24,914.23,0.156,1.25,1,,,,0,,18.4,54,10,2040,2550.153216,36.652
1.0.0,2026-08-05 03:01:55.480,305,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:55.289,4.14,1,,,,,,,,
1.0.0,2026-08-05 03:01:56.668,308,49.15,0,1,0.2132,6.15,0.53,1.44,82.58,110,668.51,110,28,6.33,73.75,12,17.23,848.4,0.234,1.391,0,,,,0,,15.5,54,14,2040,2550.153216,36.568
1.0.0,2026-08-05 03:01:57.559,309,61.45,0,1,0.224,6.6,0.58,1.28,86.82,71,488.67,69,21,6.92,79.24,12,15.39,677.04,0.14,0.89,1,,,,0,,15.6,54,12,2040,2550.153216,37.373
1.0.0,2026-08-05 03:01:57.857,307,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:57.684,12.9,1,,,,,,,,
1.0.0,2026-08-05 03:01:58.260,306,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:58.101,3.66,1,,,,,,,,
1.0.0,2026-08-05 03:01:58.730,310,48.68,0,1,0.193,7.5,0.82,1.81,81.26,95,729.81,96,25,9.81,90.01,12,21.78,932.67,0.188,1.172,0,,,,0,,12.1,54,3,2040,2550.153216,36.339
1.0.0,2026-08-05 03:01:59.726,311,46.62,0,1,0.2111,5.93,0.58,1.4,65.49,79,577.88,80,24,6.94,71.16,12,16.81,738.28,0.141,0.985,1,,,,0,,16.9,54,4,2040,2550.153216,36.65
1.0.0,2026-08-05 03:02:00.128,309,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:01:59.959,9.45,1,,,,,,,,
1.0.0,2026-08-05 03:02:00.893,308,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:00.739,3.76,1,,,,,,,,
1.0.0,2026-08-05 03:02:00.926,312,49.29,0,1,0.123,6.81,0.65,1.35,69.21,96,527.4,96,32,7.81,81.77,12,16.23,702.42,0.156,1.203,1,,,,0,,18.9,54,3,2040,2550.153216,36.565
1.0.0,2026-08-05 03:02:02.218,313,49.12,0,1,0.2004,10.48,0.55,1.31,77.55,103,655.3,103,26,6.61,125.72,12,15.72,880.9,0.187,1.297,1,,,,0,,14.9,54,12,2040,2550.153216,37.111
1.0.0,2026-08-05 03:02:02.285,311,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:02.126,4.35,1,,,,,,,,
1.0.0,2026-08-05 03:02:02.963,310,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:02.806,3.37,1,,,,,,,,
1.0.0,2026-08-05 03:02:03.426,314,49.28,0,1,0.1934,6.16,0.51,1.35,75.12,97,622.38,97,27,6.07,73.89,12,16.15,793.61,0.156,1.203,0,,,,0,,11.3,54,13,2040,2550.153216,36.899
1.0.0,2026-08-05 03:02:03.484,312,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:03.326,4.03,1,,,,,,,,
1.0.0,2026-08-05 03:02:04.476,315,48.98,0,1,0.1688,6.5,0.52,1.5,64.83,84,563.12,84,29,6.2,78.04,12,17.98,730.17,0.157,1.047,1,,,,0,,15.2,54,16,2040,2550.153216,36.917
1.0.0,2026-08-05 03:02:04.786,313,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:04.618,9.05,1,,,,,,,,
1.0.0,2026-08-05 03:02:05.676,316,49.05,0,1,0.1979,6.6,0.68,1.37,68.34,96,553.59,96,27,8.21,79.18,12,16.42,725.74,0.156,1.203,1,,,,0,,14.6,54,6,2040,2550.153216,36.424
1.0.0,2026-08-05 03:02:06.826,317,49.16,0,1,0.1881,7.06,0.67,1.43,65.04,92,566.22,92,28,8.02,84.71,12,17.2,741.19,0.156,1.156,0,,,,0,,15.2,54,4,2040,2550.153216,37.062
1.0.0,2026-08-05 03:02:07.069,315,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:06.876,33.57,1,,,,,,,,
1.0.0,2026-08-05 03:02:07.659,314,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:07.497,7.92,1,,,,,,,,
1.0.0,2026-08-05 03:02:08.076,318,49.25,0,1,0.2374,6.28,0.66,1.3,71.38,100,690.75,100,25,7.97,75.33,12,15.56,860.99,0.156,1.25,1,,,,0,,13.6,54,5,2040,2550.153216,36.747
1.0.0,2026-08-05 03:02:08.233,316,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:08.076,4.06,1,,,,,,,,
1.0.0,2026-08-05 03:02:09.524,319,49.47,0,1,0.2018,10.74,0.69,1.41,92.34,115,708.62,115,28,8.3,128.94,12,16.95,955.15,0.188,1.438,0,,,,0,,14.2,54,17,2040,2550.153216,36.564
1.0.0,2026-08-05 03:02:10.376,320,49.12,0,1,0.224,5.9,0.57,1.23,52.82,69,494.86,69,21,6.87,70.76,12,14.78,640.09,0.156,0.859,1,,,,0,,13.4,54,3,2040,2550.153216,37.155
1.0.0,2026-08-05 03:02:10.648,318,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:10.476,13.76,1,,,,,,,,
1.0.0,2026-08-05 03:02:11.068,317,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:10.897,3.65,1,,,,,,,,
1.0.0,2026-08-05 03:02:11.540,321,49.26,0,1,0.1935,6.69,0.62,1.47,64.73,94,634.72,94,28,7.39,80.32,12,17.65,804.81,0.203,1.156,0,,,,0,,15.5,54,19,2040,2550.153216,36.258
1.0.0,2026-08-05 03:02:12.530,322,49.34,0,1,0.2112,7.11,0.65,1.36,56.78,79,588.33,79,23,7.78,85.29,12,16.36,754.54,0.172,0.984,1,,,,0,,13.9,54,13,2040,2550.153216,36.951
1.0.0,2026-08-05 03:02:12.949,320,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:12.776,14.69,1,,,,,,,,
1.0.0,2026-08-05 03:02:13.725,323,49.23,0,1,0.1233,9.8,0.85,1.43,68.51,95,550.53,95,32,10.26,117.64,12,17.15,764.09,0.141,1.188,1,,,,0,,16.6,54,5,2040,2550.153216,36.246
1.0.0,2026-08-05 03:02:13.755,319,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:13.595,5.54,1,,,,,,,,
1.0.0,2026-08-05 03:02:14.976,324,49.19,0,1,0.2008,7.02,0.68,1.44,73.13,100,630.59,100,27,8.22,84.25,12,17.33,813.52,0.141,1.25,1,,,,0,,10.9,54,3,2040,2550.153216,36.999
1.0.0,2026-08-05 03:02:15.092,322,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:14.930,4.28,1,,,,,,,,
1.0.0,2026-08-05 03:02:15.771,321,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:15.611,6.7,1,,,,,,,,
1.0.0,2026-08-05 03:02:16.280,325,51.82,0,1,0.1933,6.08,0.67,1.37,79.81,105,626.12,104,27,8.08,73.01,12,16.4,803.42,0.203,1.312,0,,,,0,,14.3,54,11,2040,2550.218752,36.674
1.0.0,2026-08-05 03:02:16.285,323,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:16.125,4.43,1,,,,,,,,
1.0.0,2026-08-05 03:02:17.313,326,63.7,0,1,0.1687,6.89,0.62,1.42,60.29,82,525.42,81,28,7.4,82.72,12,17.09,692.92,0.156,1.031,1,,,,0,,13.4,54,11,2040,2550.153216,36.502
1.0.0,2026-08-05 03:02:17.539,324,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:17.376,4.75,1,,,,,,,,
1.0.0,2026-08-05 03:02:18.530,327,49.3,0,1,0.1967,6.27,0.6,1.27,68.76,98,605.75,100,27,7.22,75.19,12,15.21,772.13,0.203,1.219,1,,,,0,,13.9,54,19,2040,2550.153216,36.188
1.0.0,2026-08-05 03:02:19.626,328,49.34,0,1,0.1882,6.28,0.6,1.22,57.83,87,543.23,87,26,7.19,75.42,12,14.62,698.29,0.156,1.094,0,,,,0,,13.6,53,7,2040,2550.284288,36.654
1.0.0,2026-08-05 03:02:19.885,326,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:19.713,12.05,1,,,,,,,,
1.0.0,2026-08-05 03:02:20.513,325,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:20.351,7.29,1,,,,,,,,
1.0.0,2026-08-05 03:02:20.926,329,49.12,0,1,0.2372,6.48,0.64,1.36,76.49,104,757.25,104,22,7.62,77.7,12,16.27,935.33,0.203,1.297,1,,,,0,,11.4,53,3,2040,2550.284288,36.902
1.0.0,2026-08-05 03:02:21.094,327,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:20.930,4.6,1,,,,,,,,
1.0.0,2026-08-05 03:02:22.358,330,49.21,0,1,0.216,5.48,0.57,1.53,78.85,115,719.01,115,29,6.82,65.71,12,18.38,888.77,0.343,1.437,0,,,,0,,14.3,54,10,2040,2550.284288,36.704
1.0.0,2026-08-05 03:02:23.175,331,49.23,0,1,0.2242,5.75,0.57,1.23,51.05,65,505.19,65,21,6.83,68.99,12,14.74,646.8,0.156,0.813,1,,,,0,,14.3,54,10,2040,2550.284288,36.704
1.0.0,2026-08-05 03:02:23.490,329,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:23.326,6.38,1,,,,,,,,
1.0.0,2026-08-05 03:02:23.854,328,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:23.697,3.38,1,,,,,,,,
1.0.0,2026-08-05 03:02:24.330,332,49.19,0,1,0.1933,6.9,0.72,1.43,67.37,93,582.94,92,27,8.65,82.82,12,17.11,758.89,0.156,1.156,0,,,,0,,13.9,54,10,2040,2550.349824,36.59
1.0.0,2026-08-05 03:02:25.376,333,49.36,0,1,0.2105,6.5,0.55,1.32,60.23,83,592.09,84,26,6.55,78.03,12,15.78,752.68,0.203,1.047,1,,,,0,,13.4,54,10,2040,2550.349824,36.961
1.0.0,2026-08-05 03:02:25.740,331,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:25.575,5.54,1,,,,,,,,
1.0.0,2026-08-05 03:02:26.529,334,49.35,0,1,0.1237,6.76,0.59,1.27,62.29,93,503.71,93,34,7.05,81.13,12,15.2,669.38,0.156,1.156,1,,,,0,,11.1,54,20,2040,2542.157824,36.69
1.0.0,2026-08-05 03:02:26.601,330,,,,,,,,,,,,,,,,,,,,,2026-08-05 03:02:26.429,18.16,1,,,,,,,,
